stock,tradeNumber,buyDate,buyPrice,stopLoss,profitTarget,sellDate,sellPrice,daysTraded,returnsPerShare,isProfitable,Open,High,Low,Close,Adj Close,Volume,EMA10,EMA50,EMA200,shortEMA,longEMA,MACD,signal,hist,histPast,EMA10Percent,EMA50Percent,EMA200Percent
PXD,1.0,2021-04-28,151.4771728515625,141.35000610351562,176.7950897216797,2021-07-16,136.26806640625,55,-15.2091064453125,False,152.4600067138672,158.44000244140625,152.1999969482422,157.22000122070312,151.4771728515625,2046100.0,144.95170700886445,143.0956299399515,119.29114278454482,144.9872760244745,145.80212435568035,-0.8148483312058374,-1.2261269737611242,0.4112786425552868,-0.21187905842405486,0.9569211273233058,0.9446679472964262,0.7875189412297928
PXD,2.0,2021-07-30,140.5512237548828,135.53182792663574,159.49542713165283,2021-09-24,158.27467346191406,39,17.72344970703125,True,145.42999267578125,145.89999389648438,143.2899932861328,145.3699951171875,140.5512237548828,1711900.0,140.67362548706114,147.66464826091655,134.26829247046922,141.19533040352192,144.98961208036675,-3.7942816768448324,-3.9710245795864076,0.17674290274157523,-0.01703213785916713,1.00087086920276,1.0506109040959994,0.9552979254355634
PYPL,1.0,2021-04-01,247.5399932861328,230.56500244140625,306.83000564575195,2021-07-09,300.2099914550781,68,52.66999816894531,True,248.0399932861328,252.6490020751953,246.0399932861328,247.5399932861328,247.5399932861328,6990100.0,241.77285321973102,247.35233852741862,218.98099694726002,242.2295254302044,246.51447236152444,-4.284946931320036,-4.981497249736287,0.6965503184162509,-0.012810038179829952,0.9767021886449858,0.9992419214518711,0.8846287585300963
PYPL,2.0,2021-08-24,279.510009765625,266.6029968261719,311.7775421142578,2021-09-28,262.19000244140625,24,-17.32000732421875,False,278.92999267578125,279.5799865722656,276.5090026855469,279.510009765625,279.510009765625,3542600.0,275.6542256292984,279.8919676288803,254.95606261096032,276.12507379573657,279.7125615954433,-3.5874877997067074,-3.883721330869178,0.2962335311624704,-0.26135513604841654,0.9862052019548075,1.0013665265998009,0.9121536034603781
PYPL,3.0,2021-10-14,266.45001220703125,251.58999633789062,303.6000518798828,2021-10-21,243.2100067138672,5,-23.240005493164062,False,261.5,267.4100036621094,260.20001220703125,266.45001220703125,266.45001220703125,7850600.0,261.31678932345005,271.9803597144921,260.26692419261894,262.0343440995375,267.1736003899287,-5.139256290391188,-5.30478460185179,0.16552831146060232,-0.6538254121231155,0.980734762062639,1.020755666181632,0.9767945665935716
QCOM,1.0,2021-03-15,130.9716796875,127.62000274658203,139.35087203979492,2021-03-24,126.5343246459961,7,-4.437355041503906,False,130.05999755859375,131.75999450683594,129.1199951171875,131.63999938964844,130.9716796875,7807200.0,130.60611116416786,140.4957905035348,127.15528392011083,131.2922296651769,136.37648832727112,-5.084258662094214,-5.31645555132951,0.23219688923529613,-0.08385676551449883,0.9972087971674152,1.072718856769337,0.9708609084307758
QCOM,2.0,2021-05-24,132.2352294921875,123.68000030517578,153.6233024597168,2021-10-12,122.94999694824219,98,-9.285232543945312,False,131.3300018310547,134.0,131.3300018310547,132.91000366210938,132.2352294921875,8229300.0,130.71842729696016,133.91888116755365,129.5540400125911,130.86859682133536,132.157367354075,-1.2887705327396475,-1.46683888710507,0.17806835436542245,-0.01966425342187228,0.9885295151598239,1.0127322475397196,0.979724091001371
QRVO,1.0,2021-03-15,178.2899932861328,168.7300033569336,217.79999160766602,2021-10-13,160.0500030517578,148,-18.239990234375,False,173.47000122070312,178.38999938964844,171.5,178.2899932861328,178.2899932861328,1038400.0,172.51027001366066,170.7438136154026,148.60025271776243,172.4736314331315,172.67298140066862,-0.19934996753713108,-0.5027059337638948,0.30335596622676375,-0.22896442828871932,0.9675824584097862,0.957674687560173,0.8334750031611583
RCL,1.0,2021-01-14,75.83999633789062,69.88999938964844,90.7149887084961,2021-01-25,68.41999816894531,6,-7.4199981689453125,False,73.58999633789062,76.52999877929688,73.37000274658203,75.83999633789062,75.83999633789062,5228200.0,73.21448357585197,72.33537924654182,65.73206858909143,73.21107825149367,73.41674599263798,-0.2056677411443104,-0.36544780020363443,0.15978005905932402,-0.08440000517325047,0.9653808954533544,0.9537893293700246,0.8667203555263208
RCL,2.0,2021-02-04,70.83999633789062,64.26000213623047,87.28998184204102,2021-02-23,90.05000305175781,12,19.210006713867188,True,70.4000015258789,71.87000274658203,69.87999725341797,70.83999633789062,70.83999633789062,3588800.0,69.05924401908761,71.03250889570897,66.22193555067389,69.2538300184045,70.57440669781727,-1.320576679412767,-1.339991183765827,0.019414504353060025,-0.24287857462302354,0.9748623318625085,1.002717568714997,0.9348099798708397
RCL,3.0,2021-04-28,87.47000122070312,83.90825119018555,95.46436882019043,2021-05-05,83.0,5,-4.470001220703125,False,87.26000213623047,88.43000030517578,86.58999633789062,87.47000122070312,87.47000122070312,1943400.0,86.16261204071851,84.70859699278317,74.64871370708447,86.14875861932742,86.15030130827563,-0.0015426889482057504,-0.09406787592184343,0.09252518697363768,-0.018993450811606055,0.9850532849921217,0.9684302710714223,0.8534207461450909
RCL,4.0,2021-05-18,84.9800033569336,76.12999725341797,107.10501861572266,2021-07-15,74.20999908447266,40,-10.770004272460938,False,84.86000061035156,87.2699966430664,83.94999694824219,84.9800033569336,84.9800033569336,3451600.0,83.20087303560672,84.07058948513075,75.78326328906428,83.30561783501093,84.14733202906585,-0.8417141940549158,-0.9370081001763058,0.09529390612138999,-0.11870264237749928,0.9790641297829307,0.9892984956945328,0.8917775982045906
RCL,5.0,2021-11-02,87.77999877929688,83.39099884033203,98.75249862670898,2021-11-16,83.33999633789062,10,-4.44000244140625,False,87.73999786376953,88.55999755859375,86.4000015258789,87.77999877929688,87.77999877929688,2156700.0,85.84756998584842,85.22902788248072,81.58022666217926,85.84930993179265,85.91917943380413,-0.06986950201148545,-0.15149606459845044,0.08162656258696499,-0.10013558503673503,0.9779855454508821,0.970939041555127,0.9293714718234896
RE,1.0,2021-02-09,227.61610412597656,235.88600158691406,278.1511505126953,2021-10-14,276.2408447265625,172,48.62474060058594,True,228.1999969482422,240.39999389648438,228.1999969482422,233.0399932861328,227.61610412597656,430500.0,217.66779569439336,220.8010924372595,214.2058514865615,217.84543439665916,220.19420131587054,-2.3487669192113856,-3.093518670074527,0.7447517508631414,-0.2517934919430238,0.9562934772573156,0.9700591848942938,0.9410839022532738
RF,1.0,2021-07-02,19.934720993041992,18.937984943389893,22.42656111717224,2021-07-08,18.66543197631836,3,-1.2692890167236328,False,20.389999389648438,20.479999542236328,20.110000610351562,20.260000228881836,19.934720993041992,4125900.0,20.031027450807418,20.803267131069507,18.245875715728417,20.09940099491731,20.577598916920717,-0.4781979220034067,-0.4905660703040522,0.012368148300645476,-0.006028230011705771,1.0048310913305003,1.0435695156370972,0.9152812182371125
RF,2.0,2021-07-12,19.708415985107422,18.81999969482422,21.92945671081543,2021-07-16,18.704790115356445,4,-1.0036258697509766,False,19.600000381469727,20.110000610351562,19.40999984741211,20.030000686645508,19.708415985107422,5436100.0,19.58146960790249,20.525762965433966,18.295548213555993,19.652685525993565,20.164110502656655,-0.5114249766630898,-0.5252394419837099,0.013814465320620029,-0.029320290501141155,0.9935587732012122,1.0414719772986407,0.92831144965587
